Score,ID,Sutur,Scorer,Time,Session,Sex,Age,PersBase,PersSut,SuturFinal,SutFinalAdjusted,SutFinalLog,Time1,Tim1Sqrt,Time2,Time2Sqrt,TaskName
13,1,1.5,1,20:00,1,Male,22,0.006657445,0.007071885,0.00041444,0.00704863,-4.954921988,1200,34.64101615,800,28.28427125,Suturing
15,2,2,1,20:00,1,Male,23,0.013570245,0.007936054,-0.005634191,0.001,-6.907755279,1200,34.64101615,600,24.49489743,Suturing
18,3,2.5,1,20:00,1,Male,23,0.007040193,0.005538023,-0.001502171,0.00513202,-5.272255992,1200,34.64101615,480,21.9089023,Suturing
12,4,1,1,20:00,1,Male,23,0.006861741,0.007852358,0.000990617,0.007624808,-4.876348191,1200,34.64101615,1200,34.64101615,Suturing
22,7,4,1,20:00,1,Male,25,0.007639514,0.007553288,-8.62E-05,0.006547964,-5.028601109,1200,34.64101615,300,17.32050808,Suturing
9,8,0.5,1,20:00,1,Male,22,0.005655116,NA,NA,NA,NA,1200,34.64101615,2400,48.98979486,Suturing
10,10,1,1,20:00,1,Male,24,0.007626537,0.007238401,-0.000388136,0.006246055,-5.075805251,1200,34.64101615,1200,34.64101615,Suturing
14,11,2,1,20:00,1,Male,22,0.007554808,0.006990079,-0.000564729,0.006069462,-5.10448536,1200,34.64101615,600,24.49489743,Suturing
11,12,1,1,20:00,1,Male,23,0.007647257,0.008295005,0.000647747,0.007281938,-4.922358262,1200,34.64101615,1200,34.64101615,Suturing
13,13,1.5,1,20:00,1,Male,22,0.006177183,0.00655794,0.000380757,0.007014948,-4.959712024,1200,34.64101615,800,28.28427125,Suturing
12,19,2,1,20:00,1,Female,23,NA,NA,NA,NA,NA,1200,34.64101615,600,24.49489743,Suturing
13,21,1.5,1,20:00,1,Female,22,0.00618752,0.007120722,0.000933202,0.007567393,-4.883906666,1200,34.64101615,800,28.28427125,Suturing
16,22,3,1,20:00,1,Female,26,0.007621834,0.011385123,0.00376329,0.01039748,-4.566191798,1200,34.64101615,400,20,Suturing
21,24,6,1,19:15,1,Female,25,0.008808817,0.00626996,-0.002538857,0.004095334,-5.497907058,1155,33.98529094,192.5,13.87443693,Suturing
15,26,3.5,1,20:00,1,Female,22,0.007029366,0.006662353,-0.000367012,0.006267178,-5.072429081,1200,34.64101615,342.8571429,18.516402,Suturing
15,1,1.5,2,20:00,1,Male,22,0.006657445,0.007071885,0.00041444,0.00704863,-4.954921988,1200,34.64101615,800,28.28427125,Suturing
17,2,2,2,20:00,1,Male,23,0.013570245,0.007936054,-0.005634191,0.001,-6.907755279,1200,34.64101615,600,24.49489743,Suturing
17,3,2.5,2,20:00,1,Male,23,0.007040193,0.005538023,-0.001502171,0.00513202,-5.272255992,1200,34.64101615,480,21.9089023,Suturing
11,4,1,2,20:00,1,Male,23,0.006861741,0.007852358,0.000990617,0.007624808,-4.876348191,1200,34.64101615,1200,34.64101615,Suturing
23,7,4,2,20:00,1,Male,25,0.007639514,0.007553288,-8.62E-05,0.006547964,-5.028601109,1200,34.64101615,300,17.32050808,Suturing
10,8,0.5,2,20:00,1,Male,22,0.005655116,NA,NA,NA,NA,1200,34.64101615,2400,48.98979486,Suturing
13,10,1,2,20:00,1,Male,24,0.007626537,0.007238401,-0.000388136,0.006246055,-5.075805251,1200,34.64101615,1200,34.64101615,Suturing
17,11,2,2,20:00,1,Male,22,0.007554808,0.006990079,-0.000564729,0.006069462,-5.10448536,1200,34.64101615,600,24.49489743,Suturing
10,12,1,2,20:00,1,Male,23,0.007647257,0.008295005,0.000647747,0.007281938,-4.922358262,1200,34.64101615,1200,34.64101615,Suturing
15,13,1.5,2,20:00,1,Male,22,0.006177183,0.00655794,0.000380757,0.007014948,-4.959712024,1200,34.64101615,800,28.28427125,Suturing
16,19,2,2,20:00,1,Female,23,NA,NA,NA,NA,NA,1200,34.64101615,600,24.49489743,Suturing
