,Score,Scorer,Time,Session,Sex,Age,PersBase,PersCut,CutFinal
1,18,1,9:55,1,Male,22,0.006657445,0.006641466,-1.60E-05
2,17,1,6:45,1,Male,23,0.013570245,0.007648563,-0.005921682
3,19,1,10:15,1,Male,23,0.007040193,0.005252265,-0.001787928
4,14,1,3:10,1,Male,23,0.006861741,0.007017752,0.000156012
5,23,1,7:30,1,Male,25,0.007639514,0.005943591,-0.001695923
6,19,1,6:00,1,Male,22,0.005655116,NA,NA
7,14,1,6:20,1,Male,24,0.007626537,0.006620019,-0.001006518
8,11,1,3:55,1,Male,22,0.007554808,0.00618258,-0.001372228
9,15,1,8:00,1,Male,23,0.007647257,0.007746743,9.95E-05
10,18,1,4:10,1,Male,22,0.006177183,0.006514194,0.000337011
11,19,1,3:15,1,Female,23,NA,NA,NA
12,20,1,6:15,1,Female,22,0.00618752,0.006957866,0.000770346
13,16,1,6:10,1,Female,26,0.007621834,0.009351959,0.001730125
14,17,1,5:50,1,Female,25,0.008808817,0.006267209,-0.002541608
15,10,1,10:00,1,Female,22,0.007029366,0.00639046,-0.000638905
16,20,2,9:55,1,Male,22,0.006657445,0.006641466,-1.60E-05
17,19,2,6:45,1,Male,23,0.013570245,0.007648563,-0.005921682
18,17,2,10:15,1,Male,23,0.007040193,0.005252265,-0.001787928
19,12,2,3:10,1,Male,23,0.006861741,0.007017752,0.000156012
20,25,2,7:30,1,Male,25,0.007639514,0.005943591,-0.001695923
21,21,2,6:00,1,Male,22,0.005655116,NA,NA
22,13,2,6:20,1,Male,24,0.007626537,0.006620019,-0.001006518
23,10,2,3:55,1,Male,22,0.007554808,0.00618258,-0.001372228
24,16,2,8:00,1,Male,23,0.007647257,0.007746743,9.95E-05
25,19,2,4:10,1,Male,22,0.006177183,0.006514194,0.000337011
26,20,2,3:15,1,Female,23,NA,NA,NA
27,18,2,6:15,1,Female,22,0.00618752,0.006957866,0.000770346
28,14,2,6:10,1,Female,26,0.007621834,0.009351959,0.001730125
29,14,2,5:50,1,Female,25,0.008808817,0.006267209,-0.002541608
30,12,2,10:00,1,Female,22,0.007029366,0.00639046,-0.000638905
31,22,1,5:59,2,Male,22,0.008652118,0.009799286,0.001147167
32,19,1,4:15,2,Male,23,0.012602266,0.0065465,-0.006055766
33,22,1,7:50,2,Male,23,0.006118958,0.009439193,0.003320235
34,14,1,3:00,2,Male,23,0.006194256,0.006809658,0.000615403
35,28,1,4:45,2,Male,25,0.004680264,0.005248217,0.000567953
36,22,1,4:00,2,Male,22,0.008557117,0.00604693,-0.002510187
37,16,1,3:05,2,Male,24,0.006689656,NA,NA
38,14,1,3:10,2,Male,22,0.008027844,0.006173841,-0.001854004
39,18,1,4:30,2,Male,23,0.006268308,0.007531675,0.001263367
40,17,1,1:55,2,Male,22,0.006099068,0.005741809,-0.000357259
