"Score","ID","Sutur","Scorer","Time","Session","Sex","Age","PersBase","PersSut","SuturFinal","SutFinalAdjusted","SutFinalLog","SuturQuality","SuturQuantity"
13,1,1.5,1,"20:00",1,"Male",22,0.00665744490104166,0.0070718845284046,0.000414439627362946,0.106048630136675,-2.2438575152008,8.66666666666667,13.3333333333333
15,2,2,1,"20:00",1,"Male",23,0.0135702449326218,0.00793605442331004,-0.0056341905093118,0.1,-2.30258509299405,7.5,10
18,3,2.5,1,"20:00",1,"Male",23,0.00704019340307122,0.00553802260093174,-0.00150217080213948,0.104132019707172,-2.26209576461218,7.2,8
12,4,1,1,"20:00",1,"Male",23,0.00686174060867958,0.00785235768864998,0.000990617079970401,0.106624807589282,-2.23843907772731,12,20
22,7,4,1,"20:00",1,"Male",25,0.00763951424887054,0.00755328779180717,-8.62264570633698e-05,0.105547964052248,-2.24858979381512,5.5,5
9,8,0.5,1,"20:00",1,"Male",22,0.0056551159201541,NA,NA,NA,NA,18,40
10,10,1,1,"20:00",1,"Male",24,0.00762653706074221,0.0072384013255072,-0.000388135735235016,0.105246054774077,-2.25145429145401,10,20
14,11,2,1,"20:00",1,"Male",22,0.00755480758545151,0.00699007877257236,-0.00056472881287915,0.105069461696433,-2.2531336075797,7,10
11,12,1,1,"20:00",1,"Male",23,0.00764725718358287,0.00829500454192847,0.000647747358345596,0.106281937867657,-2.24165992465064,11,20
13,13,1.5,1,"20:00",1,"Male",22,0.00617718260624288,0.00655793977520076,0.000380757168957882,0.10601494767827,-2.24417517897913,8.66666666666667,13.3333333333333
12,19,2,1,"20:00",1,"Female",23,NA,NA,NA,NA,NA,6,10
13,21,1.5,1,"20:00",1,"Female",22,0.00618751978733782,0.0071207222058969,0.000933202418559084,0.106567392927871,-2.23897769651974,8.66666666666667,13.3333333333333
16,22,3,1,"20:00",1,"Female",26,0.00762183358702741,0.011385123200983,0.00376328961395559,0.109397480123267,-2.21276742286769,5.33333333333333,6.66666666666667
21,24,6,1,"19:15",1,"Female",25,0.00880881700743211,0.00626996027125724,-0.00253885673617487,0.103095333773137,-2.27210114821588,3.5,3.20833333333333
15,26,3.5,1,"20:00",1,"Female",22,0.0070293657315276,0.0066623533756883,-0.000367012355839296,0.105267178153473,-2.25125360687782,4.28571428571429,5.71428571428571
15,1,1.5,2,"20:00",1,"Male",22,0.00665744490104166,0.0070718845284046,0.000414439627362946,0.106048630136675,-2.2438575152008,10,13.3333333333333
17,2,2,2,"20:00",1,"Male",23,0.0135702449326218,0.00793605442331004,-0.0056341905093118,0.1,-2.30258509299405,8.5,10
17,3,2.5,2,"20:00",1,"Male",23,0.00704019340307122,0.00553802260093174,-0.00150217080213948,0.104132019707172,-2.26209576461218,6.8,8
11,4,1,2,"20:00",1,"Male",23,0.00686174060867958,0.00785235768864998,0.000990617079970401,0.106624807589282,-2.23843907772731,11,20
23,7,4,2,"20:00",1,"Male",25,0.00763951424887054,0.00755328779180717,-8.62264570633698e-05,0.105547964052248,-2.24858979381512,5.75,5
10,8,0.5,2,"20:00",1,"Male",22,0.0056551159201541,NA,NA,NA,NA,20,40
13,10,1,2,"20:00",1,"Male",24,0.00762653706074221,0.0072384013255072,-0.000388135735235016,0.105246054774077,-2.25145429145401,13,20
17,11,2,2,"20:00",1,"Male",22,0.00755480758545151,0.00699007877257236,-0.00056472881287915,0.105069461696433,-2.2531336075797,8.5,10
10,12,1,2,"20:00",1,"Male",23,0.00764725718358287,0.00829500454192847,0.000647747358345596,0.106281937867657,-2.24165992465064,10,20
15,13,1.5,2,"20:00",1,"Male",22,0.00617718260624288,0.00655793977520076,0.000380757168957882,0.10601494767827,-2.24417517897913,10,13.3333333333333
