,Score,Sutur,Scorer,Time,Session,Sex,Age,PersBase,PersSut,SuturFinal,SutFinalAdjusted,SutFinalLog,SuturQuality,SuturQuantity
1,13,1.5,1,20:00,1,Male,22,0.006657445,0.007071885,0.00041444,0.10604863,-2.243857515,8.666666667,13.33333333
2,15,2,1,20:00,1,Male,23,0.013570245,0.007936054,-0.005634191,0.1,-2.302585093,7.5,10
3,18,2.5,1,20:00,1,Male,23,0.007040193,0.005538023,-0.001502171,0.10413202,-2.262095765,7.2,8
4,12,1,1,20:00,1,Male,23,0.006861741,0.007852358,0.000990617,0.106624808,-2.238439078,12,20
5,22,4,1,20:00,1,Male,25,0.007639514,0.007553288,-8.62E-05,0.105547964,-2.248589794,5.5,5
6,9,0.5,1,20:00,1,Male,22,0.005655116,NA,NA,NA,NA,18,40
7,10,1,1,20:00,1,Male,24,0.007626537,0.007238401,-0.000388136,0.105246055,-2.251454291,10,20
8,14,2,1,20:00,1,Male,22,0.007554808,0.006990079,-0.000564729,0.105069462,-2.253133608,7,10
9,11,1,1,20:00,1,Male,23,0.007647257,0.008295005,0.000647747,0.106281938,-2.241659925,11,20
10,13,1.5,1,20:00,1,Male,22,0.006177183,0.00655794,0.000380757,0.106014948,-2.244175179,8.666666667,13.33333333
11,12,2,1,20:00,1,Female,23,NA,NA,NA,NA,NA,6,10
12,13,1.5,1,20:00,1,Female,22,0.00618752,0.007120722,0.000933202,0.106567393,-2.238977697,8.666666667,13.33333333
13,16,3,1,20:00,1,Female,26,0.007621834,0.011385123,0.00376329,0.10939748,-2.212767423,5.333333333,6.666666667
14,21,6,1,19:15,1,Female,25,0.008808817,0.00626996,-0.002538857,0.103095334,-2.272101148,3.5,3.208333333
15,15,3.5,1,20:00,1,Female,22,0.007029366,0.006662353,-0.000367012,0.105267178,-2.251253607,4.285714286,5.714285714
16,15,1.5,2,20:00,1,Male,22,0.006657445,0.007071885,0.00041444,0.10604863,-2.243857515,10,13.33333333
17,17,2,2,20:00,1,Male,23,0.013570245,0.007936054,-0.005634191,0.1,-2.302585093,8.5,10
18,17,2.5,2,20:00,1,Male,23,0.007040193,0.005538023,-0.001502171,0.10413202,-2.262095765,6.8,8
19,11,1,2,20:00,1,Male,23,0.006861741,0.007852358,0.000990617,0.106624808,-2.238439078,11,20
20,23,4,2,20:00,1,Male,25,0.007639514,0.007553288,-8.62E-05,0.105547964,-2.248589794,5.75,5
21,10,0.5,2,20:00,1,Male,22,0.005655116,NA,NA,NA,NA,20,40
22,13,1,2,20:00,1,Male,24,0.007626537,0.007238401,-0.000388136,0.105246055,-2.251454291,13,20
23,17,2,2,20:00,1,Male,22,0.007554808,0.006990079,-0.000564729,0.105069462,-2.253133608,8.5,10
24,10,1,2,20:00,1,Male,23,0.007647257,0.008295005,0.000647747,0.106281938,-2.241659925,10,20
25,15,1.5,2,20:00,1,Male,22,0.006177183,0.00655794,0.000380757,0.106014948,-2.244175179,10,13.33333333
26,16,2,2,20:00,1,Female,23,NA,NA,NA,NA,NA,8,10
27,17,1.5,2,20:00,1,Female,22,0.00618752,0.007120722,0.000933202,0.106567393,-2.238977697,11.33333333,13.33333333
28,12,3,2,20:00,1,Female,26,0.007621834,0.011385123,0.00376329,0.10939748,-2.212767423,4,6.666666667
29,20,6,2,19:15,1,Female,25,0.008808817,0.00626996,-0.002538857,0.103095334,-2.272101148,3.333333333,3.208333333
30,15,3.5,2,20:00,1,Female,22,0.007029366,0.006662353,-0.000367012,0.105267178,-2.251253607,4.285714286,5.714285714
31,15,1.5,1,20:00,2,Male,22,0.008652118,0.009510659,0.00085854,0.106492731,-2.23967855,10,13.33333333
