,Score,Scorer,Task,Time,Session,Sex,Age,PersBase,PersCut,PersSut
1,13,1,Suturing,20:00,1,Male,22,0.006657445,0.006641466,0.007071885
2,15,1,Suturing,20:00,1,Male,23,0.013570245,0.007648563,0.007936054
3,18,1,Suturing,20:00,1,Male,23,0.007040193,0.005252265,0.005538023
4,12,1,Suturing,20:00,1,Male,23,0.006861741,0.007017752,0.007852358
5,22,1,Suturing,20:00,1,Male,25,0.007639514,0.005943591,0.007553288
6,9,1,Suturing,20:00,1,Male,22,0.005655116,NA,NA
7,10,1,Suturing,20:00,1,Male,24,0.007626537,0.006620019,0.007238401
8,14,1,Suturing,20:00,1,Male,22,0.007554808,0.00618258,0.006990079
9,11,1,Suturing,20:00,1,Male,23,0.007647257,0.007746743,0.008295005
10,13,1,Suturing,20:00,1,Male,22,0.006177183,0.006514194,0.00655794
11,12,1,Suturing,20:00,1,Female,23,NA,NA,NA
12,13,1,Suturing,20:00,1,Female,22,0.00618752,0.006957866,0.007120722
13,16,1,Suturing,20:00,1,Female,26,0.007621834,0.009351959,0.011385123
14,21,1,Suturing,19:15,1,Female,25,0.008808817,0.006267209,0.00626996
15,15,1,Suturing,20:00,1,Female,22,0.007029366,0.00639046,0.006662353
16,15,2,Suturing,20:00,1,Male,22,0.006657445,0.006641466,0.007071885
17,17,2,Suturing,20:00,1,Male,23,0.013570245,0.007648563,0.007936054
18,17,2,Suturing,20:00,1,Male,23,0.007040193,0.005252265,0.005538023
19,11,2,Suturing,20:00,1,Male,23,0.006861741,0.007017752,0.007852358
20,23,2,Suturing,20:00,1,Male,25,0.007639514,0.005943591,0.007553288
21,10,2,Suturing,20:00,1,Male,22,0.005655116,NA,NA
22,13,2,Suturing,20:00,1,Male,24,0.007626537,0.006620019,0.007238401
23,17,2,Suturing,20:00,1,Male,22,0.007554808,0.00618258,0.006990079
24,10,2,Suturing,20:00,1,Male,23,0.007647257,0.007746743,0.008295005
25,15,2,Suturing,20:00,1,Male,22,0.006177183,0.006514194,0.00655794
26,16,2,Suturing,20:00,1,Female,23,NA,NA,NA
27,17,2,Suturing,20:00,1,Female,22,0.00618752,0.006957866,0.007120722
28,12,2,Suturing,20:00,1,Female,26,0.007621834,0.009351959,0.011385123
29,20,2,Suturing,19:15,1,Female,25,0.008808817,0.006267209,0.00626996
30,15,2,Suturing,20:00,1,Female,22,0.007029366,0.00639046,0.006662353
31,15,1,Suturing,20:00,2,Male,22,0.008652118,0.009799286,0.009510659
32,16,1,Suturing,20:00,2,Male,23,0.012602266,0.0065465,0.007762063
33,20,1,Suturing,20:00,2,Male,23,0.006118958,0.009439193,NA
34,18,1,Suturing,20:00,2,Male,23,0.006194256,0.006809658,0.006253776
35,25,1,Suturing,16:25,2,Male,25,0.004680264,0.005248217,0.004675785
36,21,1,Suturing,20:00,2,Male,22,0.008557117,0.00604693,0.006458208
37,12,1,Suturing,20:00,2,Male,24,0.006689656,NA,0.007451626
38,17,1,Suturing,20:00,2,Male,22,0.008027844,0.006173841,0.006669412
39,15,1,Suturing,20:00,2,Male,23,0.006268308,0.007531675,0.00684951
40,16,1,Suturing,20:00,2,Male,22,0.006099068,0.005741809,0.006327294
41,22,1,Suturing,17:50,2,Female,23,0.006964775,0.007673489,0.006350764
42,17,1,Suturing,20:00,2,Female,22,0.00950609,0.009289895,0.008347064
43,23,1,Suturing,19:55,2,Female,26,0.006569979,0.008766771,0.009510327
44,22,1,Suturing,19:50,2,Female,25,0.009001595,0.007472633,0.007136204
45,24,1,Suturing,18:05,2,Female,22,0.00480079,0.004893281,0.00541403
