Score,Scorer,Time,Session,Sex,Age,Task,FinalPP,BasePP,lnBasePP,TaskPP,lnTaskPP
18,1,9:55,1,Male,22,Cutting,-0.001043634,0.006657445,-2.176692413,0.006641466,-2.177736046
17,1,6:45,1,Male,23,Cutting,-0.24900784,0.013570245,-1.867412311,0.007648563,-2.116420152
19,1,10:15,1,Male,23,Cutting,-0.127237935,0.007040193,-2.152415435,0.005252265,-2.27965337
14,1,3:10,1,Male,23,Cutting,0.009763695,0.006861741,-2.163565679,0.007017752,-2.153801983
23,1,7:30,1,Male,25,Cutting,-0.109016815,0.007639514,-2.116934269,0.005943591,-2.225951084
19,1,6:00,1,Male,22,Cutting,NA,0.005655116,-2.247558482,NA,NA
14,1,6:20,1,Male,24,Cutting,-0.061468146,0.007626537,-2.117672618,0.006620019,-2.179140764
11,1,3:55,1,Male,22,Cutting,-0.087053687,0.007554808,-2.121776568,0.00618258,-2.208830255
15,1,8:00,1,Male,23,Cutting,0.005613463,0.007647257,-2.116494314,0.007746743,-2.110880852
18,1,4:10,1,Male,22,Cutting,0.023070221,0.006177183,-2.209209532,0.006514194,-2.186139312
19,1,3:15,1,Female,23,Cutting,NA,NA,NA,NA,NA
20,1,6:15,1,Female,22,Cutting,0.050959445,0.00618752,-2.208483384,0.006957866,-2.157523939
16,1,6:10,1,Female,26,Cutting,0.088843108,0.007621834,-2.117940514,0.009351959,-2.029097406
17,1,5:50,1,Female,25,Cutting,-0.14784341,0.008808817,-2.055082412,0.006267209,-2.202925822
10,1,10:00,1,Female,22,Cutting,-0.041384036,0.007029366,-2.153083844,0.00639046,-2.194467879
20,2,9:55,1,Male,22,Cutting,-0.001043634,0.006657445,-2.176692413,0.006641466,-2.177736046
19,2,6:45,1,Male,23,Cutting,-0.24900784,0.013570245,-1.867412311,0.007648563,-2.116420152
17,2,10:15,1,Male,23,Cutting,-0.127237935,0.007040193,-2.152415435,0.005252265,-2.27965337
12,2,3:10,1,Male,23,Cutting,0.009763695,0.006861741,-2.163565679,0.007017752,-2.153801983
25,2,7:30,1,Male,25,Cutting,-0.109016815,0.007639514,-2.116934269,0.005943591,-2.225951084
21,2,6:00,1,Male,22,Cutting,NA,0.005655116,-2.247558482,NA,NA
13,2,6:20,1,Male,24,Cutting,-0.061468146,0.007626537,-2.117672618,0.006620019,-2.179140764
