"","Score","Scorer","Time","Session","Sex","Age","PersBase","PersCut","PersSut"
"1",18,1,0.413194444444444,1,"Male",22,0.00665744490104166,0.0066414655261887,0.0070718845284046
"2",17,1,0.28125,1,"Male",23,0.0135702449326218,0.00764856297268488,0.00793605442331004
"3",19,1,0.427083333333333,1,"Male",23,0.00704019340307122,0.00525226500854657,0.00553802260093174
"4",14,1,0.131944444444444,1,"Male",23,0.00686174060867958,0.00701775239456986,0.00785235768864998
"5",23,1,0.3125,1,"Male",25,0.00763951424887054,0.00594359108523681,0.00755328779180717
"6",19,1,0.25,1,"Male",22,0.0056551159201541,NA,NA
"7",14,1,0.263888888888889,1,"Male",24,0.00762653706074221,0.00662001929649238,0.0072384013255072
"8",11,1,0.163194444444444,1,"Male",22,0.00755480758545151,0.00618257953556912,0.00699007877257236
"9",15,1,0.333333333333333,1,"Male",23,0.00764725718358287,0.00774674326485079,0.00829500454192847
"10",18,1,0.173611111111111,1,"Male",22,0.00617718260624288,0.00651419371417684,0.00655793977520076
"11",19,1,0.135416666666667,1,"Female",23,NA,NA,NA
"12",20,1,0.260416666666667,1,"Female",22,0.00618751978733782,0.00695786592138606,0.0071207222058969
"13",16,1,0.256944444444444,1,"Female",26,0.00762183358702741,0.00935195897706789,0.011385123200983
"14",17,1,0.243055555555556,1,"Female",25,0.00880881700743211,0.00626720911690291,0.00626996027125724
"15",10,1,0.416666666666667,1,"Female",22,0.0070293657315276,0.00639046047002422,0.0066623533756883
"16",20,2,0.413194444444444,1,"Male",22,0.00665744490104166,0.0066414655261887,0.0070718845284046
"17",19,2,0.28125,1,"Male",23,0.0135702449326218,0.00764856297268488,0.00793605442331004
"18",17,2,0.427083333333333,1,"Male",23,0.00704019340307122,0.00525226500854657,0.00553802260093174
"19",12,2,0.131944444444444,1,"Male",23,0.00686174060867958,0.00701775239456986,0.00785235768864998
"20",25,2,0.3125,1,"Male",25,0.00763951424887054,0.00594359108523681,0.00755328779180717
"21",21,2,0.25,1,"Male",22,0.0056551159201541,NA,NA
"22",13,2,0.263888888888889,1,"Male",24,0.00762653706074221,0.00662001929649238,0.0072384013255072
"23",10,2,0.163194444444444,1,"Male",22,0.00755480758545151,0.00618257953556912,0.00699007877257236
"24",16,2,0.333333333333333,1,"Male",23,0.00764725718358287,0.00774674326485079,0.00829500454192847
"25",19,2,0.173611111111111,1,"Male",22,0.00617718260624288,0.00651419371417684,0.00655793977520076
"26",20,2,0.135416666666667,1,"Female",23,NA,NA,NA
"27",18,2,0.260416666666667,1,"Female",22,0.00618751978733782,0.00695786592138606,0.0071207222058969
"28",14,2,0.256944444444444,1,"Female",26,0.00762183358702741,0.00935195897706789,0.011385123200983
"29",14,2,0.243055555555556,1,"Female",25,0.00880881700743211,0.00626720911690291,0.00626996027125724
"30",12,2,0.416666666666667,1,"Female",22,0.0070293657315276,0.00639046047002422,0.0066623533756883
"31",22,1,0.249305555555556,2,"Male",22,0.00865211812952418,0.00979928551253378,0.0095106585375058
"32",19,1,0.177083333333333,2,"Male",23,0.0126022660033297,0.00654650009943282,0.00776206334471474
"33",22,1,0.326388888888889,2,"Male",23,0.00611895778022799,0.00943919293332482,NA
"34",14,1,0.125,2,"Male",23,0.0061942555633028,0.00680965808270975,0.00625377629701794
"35",28,1,0.197916666666667,2,"Male",25,0.00468026442953054,0.00524821706992524,0.00467578526477115
"36",22,1,0.166666666666667,2,"Male",22,0.00855711678087074,0.00604693008514389,0.00645820770214893
"37",16,1,0.128472222222222,2,"Male",24,0.00668965572082166,NA,0.00745162600322614
"38",14,1,0.131944444444444,2,"Male",22,0.00802784441788201,0.00617384053765929,0.00666941229216748
"39",18,1,0.1875,2,"Male",23,0.00626830778965419,0.00753167476076492,0.0068495099442372
"40",17,1,0.0798611111111111,2,"Male",22,0.00609906837794052,0.00574180914891238,0.00632729416649859
"41",23,1,0.104166666666667,2,"Female",23,0.00696477520775611,0.00767348925744736,0.0063507641866729
"42",24,1,0.229166666666667,2,"Female",22,0.00950609028924422,0.00928989452949413,0.00834706395186241
"43",22,1,0.131944444444444,2,"Female",26,0.00656997883197558,0.0087667711420479,0.00951032747860542
"44",25,1,0.128472222222222,2,"Female",25,0.00900159465723241,0.00747263333089724,0.00713620375009884
"45",24,1,0.104166666666667,2,"Female",22,0.00480078955497905,0.00489328070461873,0.0054140304660829
"46",18,2,0.249305555555556,2,"Male",22,0.00865211812952418,0.00979928551253378,0.0095106585375058
"47",20,2,0.177083333333333,2,"Male",23,0.0126022660033297,0.00654650009943282,0.00776206334471474
"48",23,2,0.326388888888889,2,"Male",23,0.00611895778022799,0.00943919293332482,NA
"49",12,2,0.125,2,"Male",23,0.0061942555633028,0.00680965808270975,0.00625377629701794
"50",24,2,0.197916666666667,2,"Male",25,0.00468026442953054,0.00524821706992524,0.00467578526477115
"51",20,2,0.166666666666667,2,"Male",22,0.00855711678087074,0.00604693008514389,0.00645820770214893
"52",17,2,0.128472222222222,2,"Male",24,0.00668965572082166,NA,0.00745162600322614
"53",12,2,0.131944444444444,2,"Male",22,0.00802784441788201,0.00617384053765929,0.00666941229216748
