"Score","ID","Scorer","Time","Session","Sex","Age","PersBase","PersCut","CutFinal","CutFinalAdjusted","CutFinalLog"
18,1,1,"9:55",1,"Male",22,0.00665744490104166,0.0066414655261887,-1.59793748529605e-05,0.117345097982732,-2.14263613018026
17,2,1,"6:45",1,"Male",23,0.0135702449326218,0.00764856297268488,-0.00592168195993696,0.111439395397648,-2.1942743748874
19,3,1,"10:15",1,"Male",23,0.00704019340307122,0.00525226500854657,-0.00178792839452465,0.11557314896306,-2.15785162513002
14,4,1,"3:10",1,"Male",23,0.00686174060867958,0.00701775239456986,0.000156011785890285,0.117517089143475,-2.14117151645429
23,7,1,"7:30",1,"Male",25,0.00763951424887054,0.00594359108523681,-0.00169592316363374,0.115665154193951,-2.15705586392187
19,8,1,"6:00",1,"Male",22,0.0056551159201541,NA,NA,NA,NA
14,10,1,"6:20",1,"Male",24,0.00762653706074221,0.00662001929649238,-0.00100651776424983,0.116354559593335,-2.15111320140405
11,11,1,"3:55",1,"Male",22,0.00755480758545151,0.00618257953556912,-0.00137222804988239,0.115988849307702,-2.15426121915397
15,12,1,"8:00",1,"Male",23,0.00764725718358287,0.00774674326485079,9.94860812679179e-05,0.117460563438853,-2.14165263204202
18,13,1,"4:10",1,"Male",22,0.00617718260624288,0.00651419371417684,0.000337011107933965,0.117698088465519,-2.13963250558255
19,19,1,"3:15",1,"Female",23,NA,NA,NA,NA,NA
20,21,1,"6:15",1,"Female",22,0.00618751978733782,0.00695786592138606,0.000770346134048241,0.118131423491633,-2.13595751588155
16,22,1,"6:10",1,"Female",26,0.00762183358702741,0.00935195897706789,0.00173012539004048,0.119091202747625,-2.1278656697686
17,24,1,"5:50",1,"Female",25,0.00880881700743211,0.00626720911690291,-0.00254160789052921,0.114819469467056,-2.16439421481546
10,26,1,"10:00",1,"Female",22,0.0070293657315276,0.00639046047002422,-0.000638905261503378,0.116722172096082,-2.14795876548153
20,1,2,"9:55",1,"Male",22,0.00665744490104166,0.0066414655261887,-1.59793748529605e-05,0.117345097982732,-2.14263613018026
19,2,2,"6:45",1,"Male",23,0.0135702449326218,0.00764856297268488,-0.00592168195993696,0.111439395397648,-2.1942743748874
17,3,2,"10:15",1,"Male",23,0.00704019340307122,0.00525226500854657,-0.00178792839452465,0.11557314896306,-2.15785162513002
12,4,2,"3:10",1,"Male",23,0.00686174060867958,0.00701775239456986,0.000156011785890285,0.117517089143475,-2.14117151645429
25,7,2,"7:30",1,"Male",25,0.00763951424887054,0.00594359108523681,-0.00169592316363374,0.115665154193951,-2.15705586392187
21,8,2,"6:00",1,"Male",22,0.0056551159201541,NA,NA,NA,NA
13,10,2,"6:20",1,"Male",24,0.00762653706074221,0.00662001929649238,-0.00100651776424983,0.116354559593335,-2.15111320140405
10,11,2,"3:55",1,"Male",22,0.00755480758545151,0.00618257953556912,-0.00137222804988239,0.115988849307702,-2.15426121915397
16,12,2,"8:00",1,"Male",23,0.00764725718358287,0.00774674326485079,9.94860812679179e-05,0.117460563438853,-2.14165263204202
19,13,2,"4:10",1,"Male",22,0.00617718260624288,0.00651419371417684,0.000337011107933965,0.117698088465519,-2.13963250558255
20,19,2,"3:15",1,"Female",23,NA,NA,NA,NA,NA
18,21,2,"6:15",1,"Female",22,0.00618751978733782,0.00695786592138606,0.000770346134048241,0.118131423491633,-2.13595751588155
14,22,2,"6:10",1,"Female",26,0.00762183358702741,0.00935195897706789,0.00173012539004048,0.119091202747625,-2.1278656697686
14,24,2,"5:50",1,"Female",25,0.00880881700743211,0.00626720911690291,-0.00254160789052921,0.114819469467056,-2.16439421481546
12,26,2,"10:00",1,"Female",22,0.0070293657315276,0.00639046047002422,-0.000638905261503378,0.116722172096082,-2.14795876548153
22,1,1,"5:59",2,"Male",22,0.00865211812952418,0.00979928551253378,0.00114716738300959,0.118508244740594,-2.13277274495724
19,2,1,"4:15",2,"Male",23,0.0126022660033297,0.00654650009943282,-0.00605576590389683,0.111305311453688,-2.19547829988343
22,3,1,"7:50",2,"Male",23,0.00611895778022799,0.00943919293332482,0.00332023515309683,0.120681312510682,-2.11460198879184
14,4,1,"3:00",2,"Male",23,0.0061942555633028,0.00680965808270975,0.000615402519406952,0.117976479876992,-2.1372699974603
28,7,1,"4:45",2,"Male",25,0.00468026442953054,0.00524821706992524,0.000567952640394697,0.11792902999798,-2.13767227614957
22,8,1,"4:00",2,"Male",22,0.00855711678087074,0.00604693008514389,-0.00251018669572685,0.114850890661858,-2.16412059487616
16,10,1,"3:05",2,"Male",24,0.00668965572082166,NA,NA,NA,NA
14,11,1,"3:10",2,"Male",22,0.00802784441788201,0.00617384053765929,-0.00185400388022271,0.115507073477362,-2.15842350866727
18,12,1,"4:30",2,"Male",23,0.00626830778965419,0.00753167476076492,0.00126336697111072,0.118624444328696,-2.13179270633113
17,13,1,"1:55",2,"Male",22,0.00609906837794052,0.00574180914891238,-0.000357259229028135,0.117003818128557,-2.14554871113944
23,19,1,"2:30",2,"Female",23,0.00696477520775611,0.00767348925744736,0.000708714049691245,0.118069791407276,-2.13647937675159
