Score,Subject,Task,Timesec,Scorer,Time,Session,Sex,Age,PPLog,PersBase,PersCut,CutFinal,CutFinalAdjusted,CutFinalLog,Time
18,1,Cutting,595,1,9:55,1,Male,22,-2.14263613,0.006657445,0.006641466,-1.60E-05,0.117345098,-2.14263613,9:55
17,2,Cutting,405,1,6:45,1,Male,23,-2.194274375,0.013570245,0.007648563,-0.005921682,0.111439395,-2.194274375,6:45
19,3,Cutting,615,1,10:15,1,Male,23,-2.157851625,0.007040193,0.005252265,-0.001787928,0.115573149,-2.157851625,10:15
14,4,Cutting,190,1,3:10,1,Male,23,-2.141171516,0.006861741,0.007017752,0.000156012,0.117517089,-2.141171516,3:10
23,7,Cutting,450,1,7:30,1,Male,25,-2.157055864,0.007639514,0.005943591,-0.001695923,0.115665154,-2.157055864,7:30
19,8,Cutting,360,1,6:00,1,Male,22,NA,0.005655116,NA,NA,NA,NA,6:00
14,10,Cutting,380,1,6:20,1,Male,24,-2.151113201,0.007626537,0.006620019,-0.001006518,0.11635456,-2.151113201,6:20
11,11,Cutting,235,1,3:55,1,Male,22,-2.154261219,0.007554808,0.00618258,-0.001372228,0.115988849,-2.154261219,3:55
15,12,Cutting,480,1,8:00,1,Male,23,-2.141652632,0.007647257,0.007746743,9.95E-05,0.117460563,-2.141652632,8:00
18,13,Cutting,250,1,4:10,1,Male,22,-2.139632506,0.006177183,0.006514194,0.000337011,0.117698088,-2.139632506,4:10
19,19,Cutting,195,1,3:15,1,Female,23,NA,NA,NA,NA,NA,NA,3:15
20,21,Cutting,375,1,6:15,1,Female,22,-2.135957516,0.00618752,0.006957866,0.000770346,0.118131423,-2.135957516,6:15
16,22,Cutting,370,1,6:10,1,Female,26,-2.12786567,0.007621834,0.009351959,0.001730125,0.119091203,-2.12786567,6:10
17,24,Cutting,350,1,5:50,1,Female,25,-2.164394215,0.008808817,0.006267209,-0.002541608,0.114819469,-2.164394215,5:50
10,26,Cutting,600,1,10:00,1,Female,22,-2.147958765,0.007029366,0.00639046,-0.000638905,0.116722172,-2.147958765,10:00
20,1,Cutting,595,2,9:55,1,Male,22,-2.14263613,0.006657445,0.006641466,-1.60E-05,0.117345098,-2.14263613,9:55
19,2,Cutting,405,2,6:45,1,Male,23,-2.194274375,0.013570245,0.007648563,-0.005921682,0.111439395,-2.194274375,6:45
17,3,Cutting,615,2,10:15,1,Male,23,-2.157851625,0.007040193,0.005252265,-0.001787928,0.115573149,-2.157851625,10:15
12,4,Cutting,190,2,3:10,1,Male,23,-2.141171516,0.006861741,0.007017752,0.000156012,0.117517089,-2.141171516,3:10
25,7,Cutting,450,2,7:30,1,Male,25,-2.157055864,0.007639514,0.005943591,-0.001695923,0.115665154,-2.157055864,7:30
21,8,Cutting,360,2,6:00,1,Male,22,NA,0.005655116,NA,NA,NA,NA,6:00
13,10,Cutting,380,2,6:20,1,Male,24,-2.151113201,0.007626537,0.006620019,-0.001006518,0.11635456,-2.151113201,6:20
10,11,Cutting,235,2,3:55,1,Male,22,-2.154261219,0.007554808,0.00618258,-0.001372228,0.115988849,-2.154261219,3:55
16,12,Cutting,480,2,8:00,1,Male,23,-2.141652632,0.007647257,0.007746743,9.95E-05,0.117460563,-2.141652632,8:00
19,13,Cutting,250,2,4:10,1,Male,22,-2.139632506,0.006177183,0.006514194,0.000337011,0.117698088,-2.139632506,4:10
20,19,Cutting,195,2,3:15,1,Female,23,NA,NA,NA,NA,NA,NA,3:15
18,21,Cutting,375,2,6:15,1,Female,22,-2.135957516,0.00618752,0.006957866,0.000770346,0.118131423,-2.135957516,6:15
14,22,Cutting,370,2,6:10,1,Female,26,-2.12786567,0.007621834,0.009351959,0.001730125,0.119091203,-2.12786567,6:10
14,24,Cutting,350,2,5:50,1,Female,25,-2.164394215,0.008808817,0.006267209,-0.002541608,0.114819469,-2.164394215,5:50
12,26,Cutting,600,2,10:00,1,Female,22,-2.147958765,0.007029366,0.00639046,-0.000638905,0.116722172,-2.147958765,10:00
22,1,Cutting,359,1,5:59,2,Male,22,-2.132772745,0.008652118,0.009799286,0.001147167,0.118508245,-2.132772745,5:59
19,2,Cutting,255,1,4:15,2,Male,23,-2.1954783,0.012602266,0.0065465,-0.006055766,0.111305311,-2.1954783,4:15
22,3,Cutting,470,1,7:50,2,Male,23,-2.114601989,0.006118958,0.009439193,0.003320235,0.120681313,-2.114601989,7:50
14,4,Cutting,180,1,3:00,2,Male,23,-2.137269997,0.006194256,0.006809658,0.000615403,0.11797648,-2.137269997,3:00
28,7,Cutting,285,1,4:45,2,Male,25,-2.137672276,0.004680264,0.005248217,0.000567953,0.11792903,-2.137672276,4:45
22,8,Cutting,240,1,4:00,2,Male,22,-2.164120595,0.008557117,0.00604693,-0.002510187,0.114850891,-2.164120595,4:00
16,10,Cutting,185,1,3:05,2,Male,24,NA,0.006689656,NA,NA,NA,NA,3:05
14,11,Cutting,190,1,3:10,2,Male,22,-2.158423509,0.008027844,0.006173841,-0.001854004,0.115507073,-2.158423509,3:10
18,12,Cutting,270,1,4:30,2,Male,23,-2.131792706,0.006268308,0.007531675,0.001263367,0.118624444,-2.131792706,4:30
17,13,Cutting,115,1,1:55,2,Male,22,-2.145548711,0.006099068,0.005741809,-0.000357259,0.117003818,-2.145548711,1:55
23,19,Cutting,150,1,2:30,2,Female,23,-2.136479377,0.006964775,0.007673489,0.000708714,0.118069791,-2.136479377,2:30
24,21,Cutting,330,1,5:30,2,Female,22,-2.144343806,0.00950609,0.009289895,-0.000216196,0.117144882,-2.144343806,5:30
22,22,Cutting,190,1,3:10,2,Female,26,-2.12395476,0.006569979,0.008766771,0.002196792,0.11955787,-2.12395476,3:10
25,24,Cutting,185,1,3:05,2,Female,25,-2.155613412,0.009001595,0.007472633,-0.001528961,0.115832116,-2.155613412,3:05
24,26,Cutting,150,1,2:30,2,Female,22,-2.141712185,0.00480079,0.004893281,9.25E-05,0.117453569,-2.141712185,2:30
18,1,Cutting,359,2,5:59,2,Male,22,-2.132772745,0.008652118,0.009799286,0.001147167,0.118508245,-2.132772745,5:59
20,2,Cutting,255,2,4:15,2,Male,23,-2.1954783,0.012602266,0.0065465,-0.006055766,0.111305311,-2.1954783,4:15
23,3,Cutting,470,2,7:50,2,Male,23,-2.114601989,0.006118958,0.009439193,0.003320235,0.120681313,-2.114601989,7:50
12,4,Cutting,180,2,3:00,2,Male,23,-2.137269997,0.006194256,0.006809658,0.000615403,0.11797648,-2.137269997,3:00
24,7,Cutting,285,2,4:45,2,Male,25,-2.137672276,0.004680264,0.005248217,0.000567953,0.11792903,-2.137672276,4:45
20,8,Cutting,240,2,4:00,2,Male,22,-2.164120595,0.008557117,0.00604693,-0.002510187,0.114850891,-2.164120595,4:00
17,10,Cutting,185,2,3:05,2,Male,24,NA,0.006689656,NA,NA,NA,NA,3:05
12,11,Cutting,190,2,3:10,2,Male,22,-2.158423509,0.008027844,0.006173841,-0.001854004,0.115507073,-2.158423509,3:10
20,12,Cutting,270,2,4:30,2,Male,23,-2.131792706,0.006268308,0.007531675,0.001263367,0.118624444,-2.131792706,4:30
20,13,Cutting,115,2,1:55,2,Male,22,-2.145548711,0.006099068,0.005741809,-0.000357259,0.117003818,-2.145548711,1:55
24,19,Cutting,150,2,2:30,2,Female,23,-2.136479377,0.006964775,0.007673489,0.000708714,0.118069791,-2.136479377,2:30
21,21,Cutting,330,2,5:30,2,Female,22,-2.144343806,0.00950609,0.009289895,-0.000216196,0.117144882,-2.144343806,5:30
