,Score,Scorer,Time,Session,Sex,Age,PersBase,PersCut,CutFinal,CutFinalAdjusted,CutFinalLog,,,,,,
1,18,1,9:55,1,Male,22,0.006657445,0.006641466,-1.60E-05,0.117345098,-2.14263613,,,,-1.59794E-05,0.117345101,-2.142636108
2,17,1,6:45,1,Male,23,0.013570245,0.007648563,-0.005921682,0.111439395,-2.194274375,,,,-0.005921682,0.111439398,-2.194274351
3,19,1,10:15,1,Male,23,0.007040193,0.005252265,-0.001787928,0.115573149,-2.157851625,,,,-0.001787928,0.115573152,-2.157851602
4,14,1,3:10,1,Male,23,0.006861741,0.007017752,0.000156012,0.117517089,-2.141171516,,,,0.000156012,0.117517092,-2.141171494
5,23,1,7:30,1,Male,25,0.007639514,0.005943591,-0.001695923,0.115665154,-2.157055864,,,,-0.001695923,0.115665157,-2.157055841
6,19,1,6:00,1,Male,22,0.005655116,NA,NA,NA,NA,,,,#VALUE!,#VALUE!,#VALUE!
7,14,1,6:20,1,Male,24,0.007626537,0.006620019,-0.001006518,0.11635456,-2.151113201,,,,-0.001006518,0.116354562,-2.151113179
8,11,1,3:55,1,Male,22,0.007554808,0.00618258,-0.001372228,0.115988849,-2.154261219,,,,-0.001372228,0.115988852,-2.154261196
9,15,1,8:00,1,Male,23,0.007647257,0.007746743,9.95E-05,0.117460563,-2.141652632,,,,9.94861E-05,0.117460566,-2.14165261
10,18,1,4:10,1,Male,22,0.006177183,0.006514194,0.000337011,0.117698088,-2.139632506,,,,0.000337011,0.117698091,-2.139632483
11,19,1,3:15,1,Female,23,NA,NA,NA,NA,NA,,,,#VALUE!,#VALUE!,#VALUE!
12,20,1,6:15,1,Female,22,0.00618752,0.006957866,0.000770346,0.118131423,-2.135957516,,,,0.000770346,0.118131426,-2.135957494
13,16,1,6:10,1,Female,26,0.007621834,0.009351959,0.001730125,0.119091203,-2.12786567,,,,0.001730125,0.119091205,-2.127865648
14,17,1,5:50,1,Female,25,0.008808817,0.006267209,-0.002541608,0.114819469,-2.164394215,,,,-0.002541608,0.114819472,-2.164394192
15,10,1,10:00,1,Female,22,0.007029366,0.00639046,-0.000638905,0.116722172,-2.147958765,,,,-0.000638905,0.116722175,-2.147958743
16,20,2,9:55,1,Male,22,0.006657445,0.006641466,-1.60E-05,0.117345098,-2.14263613,,,,-1.59794E-05,0.117345101,-2.142636108
17,19,2,6:45,1,Male,23,0.013570245,0.007648563,-0.005921682,0.111439395,-2.194274375,,,,-0.005921682,0.111439398,-2.194274351
