Subject,Age,MS-Year,Sex,Session,Time,Sutures 1,Task,Score1,Score2
1,22,1,1,1,9:55,1.5,Cutting,18,20
2,23,1,1,1,6:45,2,Cutting,17,19
3,23,1,1,1,10:15,2.5,Cutting,19,17
4,23,1,1,1,3:10,1,Cutting,14,12
7,25,3,1,1,7:30,4,Cutting,23,25
8,22,1,1,1,6:00,0.5,Cutting,19,21
10,24,2,1,1,6:20,1,Cutting,14,13
11,22,1,1,1,3:55,2,Cutting,11,10
12,23,1,1,1,8:00,1,Cutting,15,16
13,22,1,1,1,4:10,1.5,Cutting,18,19
19,23,1,2,1,3:15,2,Cutting,19,20
21,22,1,2,1,6:15,1.5,Cutting,20,18
22,26,2,2,1,6:10,3,Cutting,16,14
24,25,3,2,1,5:50,6,Cutting,17,14
26,22,1,2,1,10:00,3.5,Cutting,10,12
1,22,1,1,2,5:59,1.5,Cutting,22,18
2,23,1,1,2,4:15,3,Cutting,19,20
3,23,1,1,2,7:50,4.5,Cutting,22,23
4,23,1,1,2,3:00,2.5,Cutting,14,12
7,25,3,1,2,4:45,5.5,Cutting,28,24
8,22,1,1,2,4:00,4,Cutting,22,20
10,24,2,1,2,3:05,2.5,Cutting,16,17
11,22,1,1,2,3:10,4,Cutting,14,12
12,23,1,1,2,4:30,2,Cutting,18,20
13,22,1,1,2,1:55,2,Cutting,17,20
19,23,1,2,2,2:30,6,Cutting,23,24
21,22,1,2,2,5:30,2.5,Cutting,24,21
22,26,2,2,2,3:10,6,Cutting,22,21
24,25,3,2,2,3:05,6,Cutting,25,23
26,22,1,2,2,2:30,6,Cutting,24,25
1,22,1,1,3,8:07,2.5,Cutting,23,23
2,23,1,1,3,5:05,1.5,Cutting,22,23
3,23,1,1,3,4:20,6,Cutting,24,26
4,23,1,1,3,2:10,5,Cutting,15,14
7,25,3,1,3,3:00,6,Cutting,29,28
8,22,1,1,3,4:35,5,Cutting,24,25
10,24,2,1,3,2:50,5.5,Cutting,18,19
11,22,1,1,3,2:05,6,Cutting,15,14
12,23,1,1,3,5:30,3.5,Cutting,23,25
13,22,1,1,3,1:45,3.5,Cutting,25,23
19,23,1,2,3,2:50,6,Cutting,24,26
21,22,1,2,3,1:55,4,Cutting,26,24
22,26,2,2,3,4:30,6,Cutting,23,24
24,25,3,2,3,5:20,6,Cutting,25,23
26,22,1,2,3,4:30,6,Cutting,27,22
1,22,1,1,4,2:33,2.5,Cutting,22,23
2,23,1,1,4,3:20,4,Cutting,23,21
3,23,1,1,4,3:45,6,Cutting,24,25
4,23,1,1,4,2:15,6,Cutting,14,15
7,25,3,1,4,2:50,6,Cutting,28,27
8,22,1,1,4,4:25,6,Cutting,28,25
10,24,2,1,4,2:15,5.5,Cutting,19,24
11,22,1,1,4,3:00,5.5,Cutting,13,19
12,23,1,1,4,3:20,6,Cutting,27,25
13,22,1,1,4,1:30,3,Cutting,25,22
19,23,1,2,4,2:25,6,Cutting,27,27
21,22,1,2,4,1:50,5.5,Cutting,28,22
22,26,2,2,4,4:25,6,Cutting,26,25
24,25,3,2,4,6:50,5,Cutting,25,29
26,22,1,2,4,1:15,6,Cutting,27,24
1,22,1,1,5,4:05,2.5,Cutting,22,23
2,23,1,1,5,4:25,6,Cutting,24,22
3,23,1,1,5,3:15,6,Cutting,25,24
4,23,1,1,5,1:55,6,Cutting,15,19
7,25,3,1,5,3:00,6,Cutting,25,23
8,22,1,1,5,4:30,6,Cutting,27,25
10,24,2,1,5,2:15,6,Cutting,18,21
11,22,1,1,5,1:20,6,Cutting,16,16
12,23,1,1,5,2:30,5,Cutting,28,24
13,22,1,1,5,1:45,3,Cutting,29,25
19,23,1,2,5,2:20,6,Cutting,27,28
21,22,1,2,5,1:40,6,Cutting,25,26
22,26,2,2,5,3:30,6,Cutting,26,24
